st_code,dt_code,state,district,current_ac_cr,savings_ac_cr,deposit_cr,credit_cr,population,housing_loan_cr,con_durable_loan_cr,auto_loan_cr,education_loan_cr,cc_loan_cr,others_loan_cr
24,470,GUJARAT,PATAN,382.5,3441.7,7461.4,5244.9,1869439,922.3,14.1,299.9,20.3,60,387.1
24,478,GUJARAT,PORBANDAR,495.7,3295.4,11187.5,3880.8,835324,810.2,4.6,169,30.1,49.9,449.8
24,476,GUJARAT,RAJKOT,6557,25485.6,75973.6,71070.1,4459640,16639.4,139.5,3014.2,377.6,628,4894.9
24,472,GUJARAT,SABAR KANTHA,587.6,4238.5,9416.8,11513.9,2044172,2249.2,20.9,646.5,39.5,123.4,863.5
24,492,GUJARAT,SURAT,15428.7,44006.6,124868.3,142844.5,10280872,40027.2,344.2,5236.8,666.2,1513.6,8558.5
24,475,GUJARAT,SURENDRANAGAR,661.9,5254.4,11180.8,8571.8,2283418,761.4,15.9,499.7,26.5,106,559.7
24,493,GUJARAT,TAPI,184,2191.3,4665.7,2260,1189512,748.4,4.9,206.4,18.9,17.2,338.3
24,486,GUJARAT,VADODARA,9591.7,37375.8,153609.9,96213.3,4337071,27039.9,313.4,4131.2,940.1,885.5,7318.5
24,491,GUJARAT,VALSAD,2408.2,11127.4,29123.8,21403.4,2585246,5140.6,74.7,1815.1,97.8,327.5,1782.8
6,70,HARYANA,AMBALA,1269.4,10072.5,32213.5,14931.8,1761012,2101.5,61.8,1010.2,129.7,252,1850.1
6,81,HARYANA,BHIWANI,406.9,4753,10235.2,7394.4,1718134,674.5,7.9,532,53.7,134.8,1020.2
6,765,HARYANA,CHARKI DADRI,204.4,1960.6,4093.3,2482,722879,180.5,8.7,181.5,13.6,26.4,382
6,88,HARYANA,FARIDABAD,6008.7,23274.3,80688.6,47359.4,3186138,13915.6,82.9,3004.8,230.4,629.6,3339.4
6,78,HARYANA,FATEHABAD,383,3550.3,7746.4,8446.6,1419603,578.3,13.4,319.1,46.1,100.1,729.1
6,86,HARYANA,GURUGRAM,49050.3,81809.6,392290.9,259365.3,3354891,48581.2,124.5,7389.5,582.1,3766.2,11889.3
6,80,HARYANA,HISAR,1494.4,9791.4,23692.2,24770,2591215,3515.5,28.4,1531.5,169.2,240,2928
6,83,HARYANA,JHAJJAR,759.2,6530.4,15767.9,10048.3,1351899,1788.5,12.5,724.5,100,159.5,1016.1
6,77,HARYANA,JIND,576,5414.7,10896.4,9954.4,1966010,995.1,8.8,519.9,56.1,129.1,1226.7
6,73,HARYANA,KAITHAL,495.4,4734.9,9848,10385.8,1649181,929.7,10.3,445.1,36.8,180.2,812.4
6,74,HARYANA,KARNAL,1430.8,10703.8,26517.4,30975.3,2275123,4169.1,42.8,1739.1,156.8,300.8,2448.9
6,72,HARYANA,KURUKSHETRA,666.9,7732.1,19055.8,10931.7,1453433,2080,11.5,552.9,95.3,172.2,1121.9
6,84,HARYANA,MAHENDRAGARH,310,4524,9519.6,4739.7,1282843,454.8,9.2,389.2,35.6,93.2,1096
6,89,HARYANA,PALWAL,334.6,3849.7,7517.6,4789.5,1732683,611.2,17.4,471,31.8,120.4,648.9
6,69,HARYANA,PANCHKULA,2843.6,16987.2,56679.5,23540.7,779708,6255.4,18.3,904.7,171.2,275.1,1891.7
6,75,HARYANA,PANIPAT,1889.1,8261.4,19950.6,26392.3,1990658,2520.3,43,1306.5,120,305.5,1558.9
6,85,HARYANA,REWARI,960.9,6848.2,16634.8,10007.2,1334419,1979.2,17.6,932.1,62.8,186.9,1458.6
6,82,HARYANA,ROHTAK,986.7,9249.8,24021.8,17524.2,1584655,4228.7,18.1,1499.9,225.3,217.3,2929.1
6,79,HARYANA,SIRSA,590.2,5109.4,11926.9,13706,2023225,1241.1,21.8,470.8,73.3,144.8,1012.6
6,76,HARYANA,SONIPAT,1438.2,11335.5,28955.9,16649.3,2360798,2990,14.2,1296,117.2,273.9,1409.8
6,71,HARYANA,YAMUNANAGAR,980.3,7482.7,19905.4,13112.3,1839001,1769,45,670.1,114.5,203.3,1130.6
2,30,HIMACHAL PRADESH,BILASPUR,125.8,2143.6,7140.3,1720,708741,316.9,2.7,142.8,20,13,360.4
2,23,HIMACHAL PRADESH,CHAMBA,110.7,1880.3,4725.6,1431.4,814165,310.2,2.1,107.1,12.3,12.2,431.8
2,28,HIMACHAL PRADESH,HAMIRPUR,413.3,4055.6,12386.3,2681.5,689841,602.5,3.9,250.7,58.2,21.6,538.6
2,24,HIMACHAL PRADESH,KANGRA,736.7,10835.2,33371.6,8186.4,2327985,1874.8,10.9,683.3,106.6,66,1829.3
2,34,HIMACHAL PRADESH,KINNAUR,60.7,615.1,1395.6,599.8,120047,50.1,1,41,3.4,2.1,174.7
2,26,HIMACHAL PRADESH,KULU,363,3188,8552.1,3579.2,631156,834.3,8.7,200.3,25.9,23,512.8
2,25,HIMACHAL PRADESH,LAHUL & SPITI,22.1,350.1,772.3,175.3,42968,25.6,0,9.7,0.1,0.3,49.2
2,27,HIMACHAL PRADESH,MANDI,291.6,5191.4,15473.7,4258.8,1549753,838.8,5.1,408.6,51.7,36.3,878.2
2,33,HIMACHAL PRADESH,SHIMLA,1078.8,10192.2,33369.8,10491.9,1228822,2493.2,14.5,780.2,94.8,81.2,1520.9
2,32,HIMACHAL PRADESH,SIRMAUR,356.9,2523,6931.8,5293.4,756216,923.5,3.8,197.4,100.6,51.2,535.7
2,31,HIMACHAL PRADESH,SOLAN,1023.1,5648.2,16344.3,13135.6,923966,2481.5,9.5,668.1,72.1,136.3,1105
2,29,HIMACHAL PRADESH,UNA,257,3982.4,10981.7,3349.2,784720,581.6,6.6,248.1,56.6,29.4,481.8
